date,igpm_acc
2002-12-03,22.8873314
2002-12-04,23.03822299
2002-12-05,23.18929986
2002-12-06,23.34056224
2002-12-09,23.49201035
2002-12-10,23.64364442
2002-12-11,23.79546468
2002-12-12,23.94747135
2002-12-13,24.09966468
2002-12-16,24.25204488
2002-12-17,24.40461218
2002-12-18,24.55736682
2002-12-19,24.71030903
2002-12-20,24.86343903
2002-12-23,25.01675706
2002-12-26,25.17026334
2002-12-27,25.32395812
2002-12-30,25.47784161
2003-01-02,25.57421505
2003-01-03,25.6706625
2003-01-06,25.76718404
2003-01-07,25.8637797
2003-01-08,25.96044956
2003-01-09,26.05719366
2003-01-10,26.15401207
2003-01-13,26.25090484
2003-01-14,26.34787203
2003-01-15,26.4449137
2003-01-16,26.54202989
2003-01-17,26.63922068
2003-01-20,26.73648612
2003-01-21,26.83382626
2003-01-22,26.93124116
2003-01-23,27.02873088
2003-01-24,27.12629548
2003-01-27,27.22393502
2003-01-28,27.32164954
2003-01-29,27.41943912
2003-01-30,27.5173038
2003-01-31,27.61524365
2003-02-03,27.71117814
2003-02-04,27.80718475
2003-02-05,27.90326354
2003-02-06,27.99941455
2003-02-07,28.09563784
2003-02-10,28.19193346
2003-02-11,28.28830148
2003-02-12,28.38474194
2003-02-13,28.4812549
2003-02-14,28.57784042
2003-02-17,28.67449854
2003-02-18,28.77122932
2003-02-19,28.86803282
2003-02-20,28.9649091
2003-02-21,29.0618582
2003-02-24,29.15888018
2003-02-25,29.2559751
2003-02-26,29.353143
2003-02-27,29.45038396
2003-02-28,29.54769801
2003-03-05,29.6132836
2003-03-06,29.67890239
2003-03-07,29.74455441
2003-03-10,29.81023966
2003-03-11,29.87595816
2003-03-12,29.94170994
2003-03-13,30.007495
2003-03-14,30.07331337
2003-03-17,30.13916506
2003-03-18,30.20505009
2003-03-19,30.27096847
2003-03-20,30.33692023
2003-03-21,30.40290537
2003-03-24,30.46892393
2003-03-25,30.5349759
2003-03-26,30.60106131
2003-03-27,30.66718018
2003-03-28,30.73333253
2003-03-31,30.79951836
2003-04-01,30.83945292
2003-04-02,30.87939967
2003-04-03,30.91935862
2003-04-04,30.95932976
2003-04-07,30.99931311
2003-04-08,31.03930867
2003-04-09,31.07931643
2003-04-10,31.11933642
2003-04-11,31.15936862
2003-04-14,31.19941304
2003-04-15,31.23946969
2003-04-16,31.27953857
2003-04-17,31.31961968
2003-04-22,31.35971303
2003-04-23,31.39981862
2003-04-24,31.43993645
2003-04-25,31.48006654
2003-04-28,31.52020887
2003-04-29,31.56036347
2003-04-30,31.60053032
2003-05-02,31.58911058
2003-05-05,31.57769183
2003-05-06,31.56627408
2003-05-07,31.55485732
2003-05-08,31.54344154
2003-05-09,31.53202676
2003-05-12,31.52061297
2003-05-13,31.50920017
2003-05-14,31.49778835
2003-05-15,31.48637753
2003-05-16,31.4749677
2003-05-19,31.46355886
2003-05-20,31.45215101
2003-05-21,31.44074415
2003-05-22,31.42933828
2003-05-23,31.4179334
2003-05-26,31.40652951
2003-05-27,31.39512661
2003-05-28,31.38372469
2003-05-29,31.37232377
2003-05-30,31.36092384
2003-06-02,31.31692383
2003-06-03,31.27293856
2003-06-04,31.22896802
2003-06-05,31.18501221
2003-06-06,31.14107112
2003-06-09,31.09714475
2003-06-10,31.0532331
2003-06-11,31.00933615
2003-06-12,30.96545391
2003-06-13,30.92158636
2003-06-16,30.87773351
2003-06-17,30.83389535
2003-06-18,30.79007187
2003-06-20,30.74626307
2003-06-23,30.70246894
2003-06-24,30.65868949
2003-06-25,30.61492469
2003-06-26,30.57117456
2003-06-27,30.52743908
2003-06-30,30.48371825
2003-07-01,30.46541335
2003-07-02,30.44711101
2003-07-03,30.42881124
2003-07-04,30.41051403
2003-07-07,30.3922194
2003-07-08,30.37392733
2003-07-10,30.35563782
2003-07-11,30.33735088
2003-07-14,30.31906651
2003-07-15,30.3007847
2003-07-16,30.28250546
2003-07-17,30.26422878
2003-07-18,30.24595466
2003-07-21,30.22768311
2003-07-22,30.20941412
2003-07-23,30.1911477
2003-07-24,30.17288383
2003-07-25,30.15462253
2003-07-28,30.13636379
2003-07-29,30.11810761
2003-07-30,30.099854
2003-07-31,30.08160294
2003-08-01,30.09804976
2003-08-04,30.11449865
2003-08-05,30.13094963
2003-08-06,30.14740268
2003-08-07,30.16385782
2003-08-08,30.18031503
2003-08-11,30.19677433
2003-08-12,30.2132357
2003-08-13,30.22969916
2003-08-14,30.2461647
2003-08-15,30.26263233
2003-08-18,30.27910203
2003-08-19,30.29557382
2003-08-20,30.31204768
2003-08-21,30.32852364
2003-08-22,30.34500167
2003-08-25,30.36148179
2003-08-26,30.37796399
2003-08-27,30.39444828
2003-08-28,30.41093465
2003-08-29,30.4274231
2003-09-01,30.47843421
2003-09-02,30.52946527
2003-09-03,30.58051628
2003-09-04,30.63158727
2003-09-05,30.68267822
2003-09-08,30.73378916
2003-09-09,30.78492009
2003-09-10,30.83607102
2003-09-11,30.88724195
2003-09-12,30.9384329
2003-09-15,30.98964387
2003-09-16,31.04087486
2003-09-17,31.0921259
2003-09-18,31.14339697
2003-09-19,31.1946881
2003-09-22,31.24599929
2003-09-23,31.29733055
2003-09-24,31.34868189
2003-09-25,31.4000533
2003-09-26,31.45144482
2003-09-29,31.50285642
2003-09-30,31.55428814
2003-10-01,31.57092116
2003-10-02,31.58755627
2003-10-03,31.60419349
2003-10-06,31.62083282
2003-10-07,31.63747424
2003-10-08,31.65411778
2003-10-09,31.67076341
2003-10-10,31.68741115
2003-10-13,31.704061
2003-10-14,31.72071295
2003-10-15,31.737367
2003-10-16,31.75402316
2003-10-17,31.77068143
2003-10-20,31.7873418
2003-10-21,31.80400428
2003-10-22,31.82066887
2003-10-23,31.83733556
2003-10-24,31.85400437
2003-10-27,31.87067527
2003-10-28,31.88734829
2003-10-29,31.90402341
2003-10-30,31.92070065
2003-10-31,31.93737999
2003-11-03,31.95887889
2003-11-04,31.98038129
2003-11-05,32.00188719
2003-11-06,32.0233966
2003-11-07,32.04490952
2003-11-10,32.06642594
2003-11-11,32.08794586
2003-11-12,32.1094693
2003-11-13,32.13099624
2003-11-14,32.15252668
2003-11-17,32.17406064
2003-11-18,32.1955981
2003-11-19,32.21713908
2003-11-20,32.23868356
2003-11-21,32.26023156
2003-11-24,32.28178306
2003-11-25,32.30333808
2003-11-26,32.32489661
2003-11-27,32.34645866
2003-11-28,32.36802421
2003-12-01,32.39486001
2003-12-02,32.42170124
2003-12-03,32.44854792
2003-12-04,32.47540004
2003-12-05,32.5022576
2003-12-08,32.52912061
2003-12-09,32.55598906
2003-12-10,32.58286296
2003-12-11,32.60974231
2003-12-12,32.63662711
2003-12-15,32.66351736
2003-12-16,32.69041306
2003-12-17,32.71731421
2003-12-18,32.74422082
2003-12-19,32.77113288
2003-12-22,32.7980504
2003-12-23,32.82497337
2003-12-26,32.85190181
2003-12-29,32.8788357
2003-12-30,32.90577506
2004-01-02,32.94459588
2004-01-05,32.98342805
2004-01-06,33.02227155
2004-01-07,33.06112641
2004-01-08,33.09999261
2004-01-09,33.13887016
2004-01-12,33.17775907
2004-01-13,33.21665934
2004-01-14,33.25557098
2004-01-15,33.29449397
2004-01-16,33.33342834
2004-01-19,33.37237408
2004-01-20,33.4113312
2004-01-21,33.45029969
2004-01-22,33.48927957
2004-01-23,33.52827083
2004-01-26,33.56727348
2004-01-27,33.60628753
2004-01-28,33.64531297
2004-01-29,33.68434981
2004-01-30,33.72339805
2004-02-02,33.75405232
2004-02-03,33.78471361
2004-02-04,33.81538194
2004-02-05,33.8460573
2004-02-06,33.87673969
2004-02-09,33.90742911
2004-02-10,33.93812557
2004-02-11,33.96882906
2004-02-12,33.99953959
2004-02-13,34.03025716
2004-02-16,34.06098178
2004-02-17,34.09171344
2004-02-18,34.12245214
2004-02-19,34.15319789
2004-02-20,34.18395068
2004-02-25,34.21471053
2004-02-26,34.24547743
2004-02-27,34.27625138
2004-03-01,34.32655456
2004-03-02,34.37687658
2004-03-03,34.42721746
2004-03-04,34.47757719
2004-03-05,34.5279558
2004-03-08,34.57835327
2004-03-09,34.62876963
2004-03-10,34.67920487
2004-03-11,34.72965901
2004-03-12,34.78013204
2004-03-15,34.83062399
2004-03-16,34.88113485
2004-03-17,34.93166464
2004-03-18,34.98221335
2004-03-19,35.032781
2004-03-22,35.0833676
2004-03-23,35.13397314
2004-03-24,35.18459765
2004-03-25,35.23524112
2004-03-26,35.28590356
2004-03-29,35.33658498
2004-03-30,35.38728539
2004-03-31,35.43800479
2004-04-01,35.49231449
2004-04-02,35.54664596
2004-04-05,35.60099923
2004-04-06,35.65537429
2004-04-07,35.70977115
2004-04-08,35.76418982
2004-04-12,35.81863032
2004-04-13,35.87309265
2004-04-14,35.92757681
2004-04-15,35.98208283
2004-04-16,36.0366107
2004-04-19,36.09116043
2004-04-20,36.14573204
2004-04-22,36.20032553
2004-04-23,36.25494092
2004-04-26,36.3095782
2004-04-27,36.36423739
2004-04-28,36.41891851
2004-04-29,36.47362154
2004-04-30,36.52834652
2004-05-03,36.58758963
2004-05-04,36.64685845
2004-05-05,36.70615298
2004-05-06,36.76547325
2004-05-07,36.82481926
2004-05-10,36.88419101
2004-05-11,36.94358854
2004-05-12,37.00301183
2004-05-13,37.06246091
2004-05-14,37.12193579
2004-05-17,37.18143647
2004-05-18,37.24096298
2004-05-19,37.30051531
2004-05-20,37.36009348
2004-05-21,37.41969751
2004-05-24,37.4793274
2004-05-25,37.53898317
2004-05-26,37.59866482
2004-05-27,37.65837237
2004-05-28,37.71810583
2004-05-31,37.77786521
2004-06-01,37.84082408
2004-06-02,37.90381172
2004-06-03,37.96682815
2004-06-04,38.02987337
2004-06-07,38.0929474
2004-06-08,38.15605025
2004-06-09,38.21918194
2004-06-11,38.28234248
2004-06-14,38.34553188
2004-06-15,38.40875015
2004-06-16,38.47199732
2004-06-17,38.53527338
2004-06-18,38.59857836
